muzzle, avoidgeorge,1801,0.047751249,5.891726818,429.2365353,0.21423946,6.695154789,237.6099006
NovelTS, avoidgeorge,1660,0.901807229,250.5915663,952.9740964,0.298575118,103.7373464,158.8069486
NovTea, avoidgeorge,1662,0.550541516,364.8862816,753.2220217,0.498438996,260.313031,325.8246347
Number27, avoidgeorge,1540,0.307792208,25.75454545,664.137013,0.462580074,29.5632963,301.4604323
Return42, avoidgeorge,1640,0.104878049,68.68658537,437.9323171,0.30739622,61.73119039,296.2584335
sampleMCTS, avoidgeorge,1530,0.003921569,4.968627451,299.2732026,0.063499519,13.39128265,159.3040826
sampleRHEA, avoidgeorge,1820,0.004395604,23.55769231,267.9510989,0.067153481,30.27154694,167.264216
simulatedAnnealing, avoidgeorge,1770,0,-0.337853107,129.380791,0.001,1.609586396,62.7104788
SJA86, avoidgeorge,1495,0.000668896,1.742474916,259.0374582,0.026854379,2.852726326,106.5803884
SJA862, avoidgeorge,2715,0.025046041,36.95211786,289.9683241,0.157264956,43.48248259,241.2370034
TeamTopbug, avoidgeorge,1596,0.95802005,127.0031328,981.2274436,0.201543346,40.48430347,105.3242649
thorbjrn, avoidgeorge,1705,0.13313783,12.92434018,527.2498534,0.340723635,11.04697802,281.1263516
TomVodo, avoidgeorge,1375,0,1.68,251.4530909,0.001,3.931782943,98.02445975
YBCriber, avoidgeorge,1405,0.029893238,59.25836299,353.1096085,0.171292785,66.74039978,237.8959447
adrienctx, bait,695,0.09352518,3.149640288,1822.923741,0.292166998,3.758474548,552.3133754
aStar, bait,820,0.02804878,2.381707317,1944.49878,0.166112224,3.049295327,326.7188338
AtheneAI, bait,315,0.822222222,13.08888889,422.9460317,0.383325567,8.648875436,759.6946005
bladerunner, bait,595,0.2,1.707563025,1602.904202,0.401,1.849513355,794.1922545
CatLinux, bait,1129,0.094774136,6.318866253,1815.857396,0.293902713,8.479243304,571.2169673
evolutionStrategies, bait,985,0.073096447,5.523857868,1651.660914,0.261294749,7.635392482,689.1846877
greedySearch, bait,1060,0.03490566,1.398113208,1726.706604,0.184540882,1.718829979,682.4157697
hillClimber, bait,1090,0.049541284,1.949541284,536.4990826,0.217995266,2.444907379,710.3586912
ICELab, bait,945,0.870899471,12.43068783,334.5058201,0.336311173,9.232055822,528.5749057
jaydee, bait,770,0.04025974,3.453246753,1921.518182,0.197567784,4.679885549,385.7226987
MaastCTS2, bait,950,0.565263158,9.426315789,887.2010526,0.496722423,7.098689921,975.9760084
MH2015, bait,3740,0.074064171,3.702941176,1855.590642,0.262875294,5.090334755,511.2791357
mrtndwrd, bait,605,0.003305785,1.87107438,1839.038017,0.058400844,3.336247225,484.3067161
muzzle, bait,986,0.149087221,4.878296146,1704.322515,0.357174426,5.292828016,706.3862462
NovelTS, bait,865,0.2,4.532947977,1601.6,0.401,5.780504447,796.8
NovTea, bait,870,0.637931034,11.34252874,754.7574713,0.481598616,8.092852468,938.6215216
Number27, bait,755,0.033112583,2.888741722,1937.468874,0.179930544,4.937236374,338.4977448
Return42, bait,862,0.335266821,8.975638051,1356.264501,0.473083658,8.466604518,909.0661265
sampleMCTS, bait,731,0.106703146,2.250341997,1787.838577,0.309735461,2.219929696,612.2846442
sampleRHEA, bait,1015,0.066995074,5.787192118,1863.733005,0.251013468,8.002972263,490.6295811
simulatedAnnealing, bait,955,0.054450262,1.268062827,375.8,0.227904012,1.541169269,682.1012797
SJA86, bait,690,0.1,1.320289855,1801.423188,0.301,1.83158395,595.3857286
SJA862, bait,1915,0.065796345,4.233942559,1870.313316,0.248925766,6.01834628,488.790224
TeamTopbug, bait,814,0.036855037,2.92997543,1926.625307,0.189405794,4.071178083,375.0971057
thorbjrn, bait,915,0.4,2.4,1225.855738,0.490897949,3.007659276,948.8066321
TomVodo, bait,580,0.10862069,1.044827586,1784.177586,0.312162715,1.640404056,617.7202674
YBCriber, bait,605,0.783471074,11.83305785,872.9867769,0.412878805,7.548112506,658.3197092
adrienctx, beltmanager,435,0.034482759,-0.92183908,195.8574713,0.183465608,0.376522712,285.401436
aStar, beltmanager,570,0.057894737,-0.88245614,240.0578947,0.234544292,0.469526173,303.77913
AtheneAI, beltmanager,33,0.03030303,-0.939393939,141.3333333,0.172419826,0.343839651,103.875411
bladerunner, beltmanager,320,0,-0.753125,741.940625,0.001,0.432193384,777.2294824
CatLinux, beltmanager,845,0.024852071,-0.931360947,215.9668639,0.156674165,0.338093274,320.1958481
evolutionStrategies, beltmanager,715,0.025174825,-0.945454545,182.6783217,0.157655844,0.32024896,233.570121
greedySearch, beltmanager,775,0.001290323,-0.997419355,102.4632258,0.036897878,0.072795756,61.73929268
hillClimber, beltmanager,825,0.004848485,-0.989090909,140.1624242,0.070462055,0.144132988,118.0409392
ICELab, beltmanager,0,0,0,0,0.001,0.001,0
jaydee, beltmanager,490,0,-1,137.5142857,0.001,0.001,75.91935033
MaastCTS2, beltmanager,680,0.057352941,-0.876470588,382.3044118,0.233515766,0.473203112,387.1794385
MH2015, beltmanager,3480,0.003735632,-0.992528736,127.0520115,0.062005551,0.123011102,89.17424114
mrtndwrd, beltmanager,340,0,-1,117.3323529,0.001,0.001,70.95233371
muzzle, beltmanager,725,0.064827586,-0.817931034,296.3075862,0.247221385,0.528802074,482.9964466
NovelTS, beltmanager,590,0.003389831,-0.991525424,153.6847458,0.059123485,0.124216958,135.0801982
NovTea, beltmanager,605,0.024793388,-0.947107438,137.3834711,0.15649494,0.316724113,141.5690413
Number27, beltmanager,475,0.014736842,-0.903157895,567.0884211,0.121497583,0.342961103,594.5976619
Return42, beltmanager,585,0.006837607,-0.986324786,102.3589744,0.083406638,0.165813276,58.35322174
sampleMCTS, beltmanager,475,0.021052632,-0.955789474,168.2673684,0.144559807,0.291450028,194.0669827
sampleRHEA, beltmanager,755,0.017218543,-0.958940397,180.2013245,0.131084837,0.272681427,231.4389122
simulatedAnnealing, beltmanager,680,0.001470588,-0.997058824,100.5985294,0.039320042,0.077640084,57.55385456
SJA86, beltmanager,435,0.029885057,-0.933333333,180.1908046,0.171270199,0.350274014,227.7670173
SJA862, beltmanager,1640,0.000609756,-0.998780488,109.5493902,0.02568571,0.050371421,64.71754766
TeamTopbug, beltmanager,535,0,-1,132.0859813,0.001,0.001,69.81875126
thorbjrn, beltmanager,665,0,-0.939849624,197.5022556,0.001,0.238765238,457.5138705
TomVodo, beltmanager,320,0.040625,-0.9125,171.878125,0.198419881,0.402364859,199.069054
YBCriber, beltmanager,320,0,-1,100.8,0.001,0.001,36.36701802
adrienctx, blacksmoke,3290,0.073860182,8.866869301,130.9361702,0.26254322,7.928821979,174.6120029
aStar, blacksmoke,3425,0.001167883,2.012262774,120.7121168,0.035154345,1.801039332,30.87107236
AtheneAI, blacksmoke,2915,0.000343053,1.753344768,99.64253859,0.019518517,2.698413467,99.8742838
bladerunner, blacksmoke,3185,0.051177394,8.176766091,159.466562,0.221359407,7.153246152,248.3237206
CatLinux, blacksmoke,3735,0.01124498,6.038018742,145.114324,0.106444442,6.028838172,184.4887956
evolutionStrategies, blacksmoke,3570,0,3.250140056,117.5246499,0.001,3.26799928,52.27165181
greedySearch, blacksmoke,3685,0,7.193215739,91.9063772,0.001,5.10359546,92.35043679
